;id;Nummer;Lid;Opsomming niveau 1;Opsomming niveau 2;Opsomming niveau 3;Zin;Versie;jci 1.3;Brontekst;Action;Object;Actor;Recipient;Opmerkingen;Action 2;Object 2;Actor 2;Recipient 2;Action 3;Object 3;Actor 3;Recipient 3;tokens;srl_tags
543;200;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1;Lid2;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1&artikel=2.10&lid=2&z=2019-04-18&g=2019-04-18;Indien meerdere percelen aan dezelfde inschrijver kunnen worden gegund ,  kan een aanbestedende dienst een overheidsopdracht gunnen voor een combinatie van percelen of voor alle percelen ,  mits hij in de aankondiging van de overheidsopdracht : ; worden gegund;; meerdere percelen;dezelfde inschrijve;;kan gunnen;een overheidsopdracht gunnen;een aanbestedende dienst;;;;;;['Indien', 'meerdere', 'percelen', 'aan', 'dezelfde', 'inschrijver', 'kunnen', 'worden', 'gegund', ',', 'kan', 'een', 'aanbestedende', 'dienst', 'een', 'overheidsopdracht', 'gunnen', 'voor', 'een', 'combinatie', 'van', 'percelen', 'of', 'voor', 'alle', 'percelen', ',', 'mits', 'hij', 'in', 'de', 'aankondiging', 'van', 'de', 'overheidsopdracht', ':'];['O', 'ACTOR', 'ACTOR', 'O', 'REC', 'REC', 'O', 'V', 'V', ',', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ':']
544;201;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1;Onderdeela;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1&artikel=2.10&lid=2&o=a&z=2019-04-18&g=2019-04-18;zich daartoe de mogelijkheid heeft voorbehouden ,  en; heeft voorbehouden;de mogelijkheid ;;;;;;;;;;;;['zich', 'daartoe', 'de', 'mogelijkheid', 'heeft', 'voorbehouden', ',', 'en'];['O', 'O', 'OBJ', 'OBJ', 'V', 'V', ',', 'O']
545;202;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1;Onderdeelb;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1&artikel=2.10&lid=2&o=b&z=2019-04-18&g=2019-04-18;heeft aangegeven welke percelen of groepen van percelen kunnen worden gecombineerd . ;heeft aangegeven;;;;;kunnen worden gecombineerd;;welke percelen of groepen van percelen;;;;;;['heeft', 'aangegeven', 'welke', 'percelen', 'of', 'groepen', 'van', 'percelen', 'kunnen', 'worden', 'gecombineerd', '.'];['V', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'V', 'V', '.']
546;203;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1;Lid3;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1&artikel=2.10&lid=3&z=2019-04-18&g=2019-04-18;Onverminderd het eerste lid kan een aanbestedende dienst het aantal aan n inschrijver te gunnen percelen beperken ,  mits het maximum aantal percelen per inschrijver in de aankondiging van de overheidsopdracht is vermeld . ;kan  beperken; het aantal aan n inschrijver te gunnen percelen ;een aanbestedende dienst;;;;;;;;;;;['Onverminderd', 'het', 'eerste', 'lid', 'kan', 'een', 'aanbestedende', 'dienst', 'het', 'aantal', 'aan', 'n', 'inschrijver', 'te', 'gunnen', 'percelen', 'beperken', ',', 'mits', 'het', 'maximum', 'aantal', 'percelen', 'per', 'inschrijver', 'in', 'de', 'aankondiging', 'van', 'de', 'overheidsopdracht', 'is', 'vermeld', '.'];['O', 'O', 'O', 'O', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
547;204;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1;Lid4;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1&artikel=2.10&lid=4&z=2019-04-18&g=2019-04-18;In een geval als bedoeld in het derde lid vermeldt een aanbestedende dienst in de aanbestedingsstukken de objectieve en niet - discriminerende regels die hij zal toepassen om te bepalen welke percelen zullen worden gegund indien de toepassing van de gunningscriteria zou leiden tot de gunning van meer percelen dan het maximum aantal aan dezelfde inschrijver . ;vermeldt;n de objectieve en niet-discriminerende regels;een aanbestedende dienst;;;;;;;;;;;['In', 'een', 'geval', 'als', 'bedoeld', 'in', 'het', 'derde', 'lid', 'vermeldt', 'een', 'aanbestedende', 'dienst', 'in', 'de', 'aanbestedingsstukken', 'de', 'objectieve', 'en', 'niet', '-', 'discriminerende', 'regels', 'die', 'hij', 'zal', 'toepassen', 'om', 'te', 'bepalen', 'welke', 'percelen', 'zullen', 'worden', 'gegund', 'indien', 'de', 'toepassing', 'van', 'de', 'gunningscriteria', 'zou', 'leiden', 'tot', 'de', 'gunning', 'van', 'meer', 'percelen', 'dan', 'het', 'maximum', 'aantal', 'aan', 'dezelfde', 'inschrijver', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '-', 'OBJ', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
548;205;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid1;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=1&z=2019-04-18&g=2019-04-18;Een aanbestedende dienst kan leveringen of diensten inkopen van een aankoopcentrale ,  mits de aankoopcentrale het bij of krachtens  van deze wet voor aanbestedende diensten bepaalde met betrekking tot die overheidsopdracht naleeft . deel 2;kan inkopen;leveringen of diensten;Een aanbestedende dienst ;;;;;;;;;;;['Een', 'aanbestedende', 'dienst', 'kan', 'leveringen', 'of', 'diensten', 'inkopen', 'van', 'een', 'aankoopcentrale', ',', 'mits', 'de', 'aankoopcentrale', 'het', 'bij', 'of', 'krachtens', 'van', 'deze', 'wet', 'voor', 'aanbestedende', 'diensten', 'bepaalde', 'met', 'betrekking', 'tot', 'die', 'overheidsopdracht', 'naleeft', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
549;206;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid2;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=2&z=2019-04-18&g=2019-04-18;Een aanbestedende dienst kan werken ,  leveringen of diensten verkrijgen : ;kan  verkrijgen;werken, leveringen of diensten;Een aanbestedende diens;;;;;;;;;;;['Een', 'aanbestedende', 'dienst', 'kan', 'werken', ',', 'leveringen', 'of', 'diensten', 'verkrijgen', ':'];['ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', ',', 'OBJ', 'OBJ', 'OBJ', 'V', ':']
550;207;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Onderdeela;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=2&o=a&z=2019-04-18&g=2019-04-18;via een overheidsopdracht die door een aankoopcentrale wordt gegund , ; wordt gegund;;een aankoopcentrale;;;;;;;;;;;['via', 'een', 'overheidsopdracht', 'die', 'door', 'een', 'aankoopcentrale', 'wordt', 'gegund', ','];['O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V', ',']
552;209;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Onderdeelc;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=2&o=c&z=2019-04-18&g=2019-04-18;door ,  met inachtneming van  ,  gebruik te maken van een raamovereenkomst die is gesloten door een aankoopcentrale ,  mits de aankoopcentrale het bij of krachtens  van deze wet voor aanbestedende diensten bepaalde met betrekking tot die overheidsopdracht naleeft . artikel 2 . 140 ,  eerste lid; is gesloten; een raamovereenkomst;een aankoopcentrale;;;;;;;;;;;['door', ',', 'met', 'inachtneming', 'van', ',', 'gebruik', 'te', 'maken', 'van', 'een', 'raamovereenkomst', 'die', 'is', 'gesloten', 'door', 'een', 'aankoopcentrale', ',', 'mits', 'de', 'aankoopcentrale', 'het', 'bij', 'of', 'krachtens', 'van', 'deze', 'wet', 'voor', 'aanbestedende', 'diensten', 'bepaalde', 'met', 'betrekking', 'tot', 'die', 'overheidsopdracht', 'naleeft', '.'];['O', ',', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'OBJ', 'OBJ', 'O', 'V', 'V', 'O', 'ACTOR', 'ACTOR', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
553;210;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid3;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=3&z=2019-04-18&g=2019-04-18;In de in het eerste en tweede lid bedoelde gevallen heeft de desbetreffende aanbestedende dienst voldaan aan de voor hem geldende verplichtingen op grond van  van deze wet . deel 2;heeft voldaan;aan de voor hem geldende verplichtingen;de desbetreffende aanbestedende dienst ;;;;;;;;;;;['In', 'de', 'in', 'het', 'eerste', 'en', 'tweede', 'lid', 'bedoelde', 'gevallen', 'heeft', 'de', 'desbetreffende', 'aanbestedende', 'dienst', 'voldaan', 'aan', 'de', 'voor', 'hem', 'geldende', 'verplichtingen', 'op', 'grond', 'van', 'van', 'deze', 'wet', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', '.']
554;211;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid4;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=4&z=2019-04-18&g=2019-04-18;Onverminderd het derde lid is een aanbestedende dienst verantwoordelijk voor de nakoming van de verplichtingen op grond van  van deze wet voor de delen die hij zelf verricht ,  zoals : deel 2;is;verantwoordelijk;een aanbestedende dienst ;;;;;;;;;;;['Onverminderd', 'het', 'derde', 'lid', 'is', 'een', 'aanbestedende', 'dienst', 'verantwoordelijk', 'voor', 'de', 'nakoming', 'van', 'de', 'verplichtingen', 'op', 'grond', 'van', 'van', 'deze', 'wet', 'voor', 'de', 'delen', 'die', 'hij', 'zelf', 'verricht', ',', 'zoals', ':', 'deel', '2'];['O', 'O', 'O', 'O', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', ':', 'O', '2']
555;212;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Onderdeela;;;;het plaatsen van een opdracht in het kader van een dynamisch aankoopsysteem dat door een aankoopcentrale wordt gexploiteerd;wordt gexploiteerd;;een aankoopcentrale;;;;;;;;;;;['het', 'plaatsen', 'van', 'een', 'opdracht', 'in', 'het', 'kader', 'van', 'een', 'dynamisch', 'aankoopsysteem', 'dat', 'door', 'een', 'aankoopcentrale', 'wordt', 'gexploiteerd'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V']
556;213;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Onderdeelb;;;;het doen uitgaan van een aankondiging op grond van een raamovereenkomst die door een aankoopcentrale is gesloten; is gesloten;;een aankoopcentrale ;;;;;;;;;;;['het', 'doen', 'uitgaan', 'van', 'een', 'aankondiging', 'op', 'grond', 'van', 'een', 'raamovereenkomst', 'die', 'door', 'een', 'aankoopcentrale', 'is', 'gesloten'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V']
557;214;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Onderdeelc;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=4&o=c&z=2019-04-18&g=2019-04-18;indien dit met toepassing van  in de raamovereenkomst is bepaald ,  vaststellen welke van de ondernemers die partij zijn bij de raamovereenkomst ,  een gegeven taak uitvoert op grond van een door een aankoopcentrale gesloten raamovereenkomst . artikel 2 . 143; is bepaald;;dit;;;uitvoert;;;;;;;;['indien', 'dit', 'met', 'toepassing', 'van', 'in', 'de', 'raamovereenkomst', 'is', 'bepaald', ',', 'vaststellen', 'welke', 'van', 'de', 'ondernemers', 'die', 'partij', 'zijn', 'bij', 'de', 'raamovereenkomst', ',', 'een', 'gegeven', 'taak', 'uitvoert', 'op', 'grond', 'van', 'een', 'door', 'een', 'aankoopcentrale', 'gesloten', 'raamovereenkomst', '.'];['O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
558;215;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid5;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=5&z=2019-04-18&g=2019-04-18;Een aanbestedende dienst kan een overheidsopdracht voor diensten betreffende een gecentraliseerde aankoopactiviteit ,  met inbegrip van een aanvullende aankoopactiviteit ,  aan een aankoopcentrale gunnen zonder toepassing van de procedures bij of krachtens  van deze wet . deel 2;kan gunnen;en overheidsopdracht voor diensten betreffende een gecentraliseerde aankoopactiviteit, met inbegrip van een aanvullende aankoopactiviteit;Een aanbestedende dienst;een aankoopcentrale;;;;;;;;;;['Een', 'aanbestedende', 'dienst', 'kan', 'een', 'overheidsopdracht', 'voor', 'diensten', 'betreffende', 'een', 'gecentraliseerde', 'aankoopactiviteit', ',', 'met', 'inbegrip', 'van', 'een', 'aanvullende', 'aankoopactiviteit', ',', 'aan', 'een', 'aankoopcentrale', 'gunnen', 'zonder', 'toepassing', 'van', 'de', 'procedures', 'bij', 'of', 'krachtens', 'van', 'deze', 'wet', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', ',', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', ',', 'O', 'REC', 'REC', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
559;216;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid6;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=6&z=2019-04-18&g=2019-04-18;Indien een door een aankoopcentrale gexploiteerd dynamisch aankoopsysteem door andere aanbestedende diensten mag worden gebruikt ,  wordt dit vermeld in de aankondiging voor de instelling van het dynamisch aankoopsysteem . ;mag worden gebruikt; dynamisch aankoopsysteem;andere aanbestedende diensten;;;wordt vermeld;;dit;;;;;;['Indien', 'een', 'door', 'een', 'aankoopcentrale', 'gexploiteerd', 'dynamisch', 'aankoopsysteem', 'door', 'andere', 'aanbestedende', 'diensten', 'mag', 'worden', 'gebruikt', ',', 'wordt', 'dit', 'vermeld', 'in', 'de', 'aankondiging', 'voor', 'de', 'instelling', 'van', 'het', 'dynamisch', 'aankoopsysteem', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'V', 'V', ',', 'V', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
560;217;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid7;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11&lid=7&z=2019-04-18&g=2019-04-18;Voor alle aanbestedingsprocedures van een aankoopcentrale worden elektronische middelen gebruikt . ;worden gebruikt;;elektronische middelen ;;;;;;;;;;;['Voor', 'alle', 'aanbestedingsprocedures', 'van', 'een', 'aankoopcentrale', 'worden', 'elektronische', 'middelen', 'gebruikt', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'ACTOR', 'V', '.']
561;218;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid1;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11a&lid=1&z=2019-04-18&g=2019-04-18;Twee of meer aanbestedende diensten kunnen overeenkomen specifieke aanbestedingsprocedures gezamenlijk uit te voeren . ;kunnen overeenkomen;;Twee of meer aanbestedende diensten ;;;;;;;;;;;['Twee', 'of', 'meer', 'aanbestedende', 'diensten', 'kunnen', 'overeenkomen', 'specifieke', 'aanbestedingsprocedures', 'gezamenlijk', 'uit', 'te', 'voeren', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '.']
562;219;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid2;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11a&lid=2&z=2019-04-18&g=2019-04-18;Indien een volledige aanbestedingsprocedure gezamenlijk wordt uitgevoerd namens en voor rekening van alle betrokken aanbestedende diensten ,  zijn zij gezamenlijk verantwoordelijk voor het nakomen van hun verplichtingen op grond van  van deze wet . deel 2; wordt uitgevoerd ;; een volledige aanbestedingsprocedure;;;;;;;;;;;['Indien', 'een', 'volledige', 'aanbestedingsprocedure', 'gezamenlijk', 'wordt', 'uitgevoerd', 'namens', 'en', 'voor', 'rekening', 'van', 'alle', 'betrokken', 'aanbestedende', 'diensten', ',', 'zijn', 'zij', 'gezamenlijk', 'verantwoordelijk', 'voor', 'het', 'nakomen', 'van', 'hun', 'verplichtingen', 'op', 'grond', 'van', 'van', 'deze', 'wet', '.'];['O', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
563;220;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid3;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11a&lid=3&z=2019-04-18&g=2019-04-18;Het tweede lid is van overeenkomstige toepassing indien een aanbestedende dienst de procedure beheert en optreedt namens zichzelf en de andere betrokken aanbestedende diensten . ;is;overeenkomstige;Het tweede lid;;;beheert;de procedure ; een aanbestedende diens;;optreedt;;;;['Het', 'tweede', 'lid', 'is', 'van', 'overeenkomstige', 'toepassing', 'indien', 'een', 'aanbestedende', 'dienst', 'de', 'procedure', 'beheert', 'en', 'optreedt', 'namens', 'zichzelf', 'en', 'de', 'andere', 'betrokken', 'aanbestedende', 'diensten', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'OBJ', 'O', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'V', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
564;221;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid4;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11a&lid=4&z=2019-04-18&g=2019-04-18;Indien een aanbestedingsprocedure niet volledig gezamenlijk wordt uitgevoerd namens en voor rekening van de betrokken aanbestedende diensten ,  zijn zij uitsluitend gezamenlijk verantwoordelijk voor de gezamenlijk uitgevoerde delen . ; wordt uitgevoerd;een aanbestedingsprocedure; de betrokken aanbestedende diensten;;;zijn;verantwoordelijk; de betrokken aanbestedende diensten;;;;;;['Indien', 'een', 'aanbestedingsprocedure', 'niet', 'volledig', 'gezamenlijk', 'wordt', 'uitgevoerd', 'namens', 'en', 'voor', 'rekening', 'van', 'de', 'betrokken', 'aanbestedende', 'diensten', ',', 'zijn', 'zij', 'uitsluitend', 'gezamenlijk', 'verantwoordelijk', 'voor', 'de', 'gezamenlijk', 'uitgevoerde', 'delen', '.'];['O', 'OBJ', 'OBJ', 'O', 'O', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', ',', 'V', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', '.']
565;222;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid5;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11a&lid=5&z=2019-04-18&g=2019-04-18;In het geval ,  bedoeld in het vierde lid ,  is elke aanbestedende dienst als enige verantwoordelijk voor het nakomen van zijn verplichtingen bij of krachtens  van deze wet met betrekking tot de delen die hij in eigen naam en voor eigen rekening uitvoert . deel 2;is; elke aanbestedende dienst; elke aanbestedende dienst;;;;;;;;;;;['In', 'het', 'geval', ',', 'bedoeld', 'in', 'het', 'vierde', 'lid', ',', 'is', 'elke', 'aanbestedende', 'dienst', 'als', 'enige', 'verantwoordelijk', 'voor', 'het', 'nakomen', 'van', 'zijn', 'verplichtingen', 'bij', 'of', 'krachtens', 'van', 'deze', 'wet', 'met', 'betrekking', 'tot', 'de', 'delen', 'die', 'hij', 'in', 'eigen', 'naam', 'en', 'voor', 'eigen', 'rekening', 'uitvoert', '.'];['O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
566;223;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid1;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11b&lid=1&z=2019-04-18&g=2019-04-18;Aanbestedende diensten in verschillende lidstaten van de Europese Unie kunnen gezamenlijk een overheidsopdracht plaatsen ,  een dynamisch aankoopsysteem exploiteren of ,  met inachtneming van  ,  een opdracht plaatsen in het kader van de raamovereenkomst of het dynamisch aankoopsysteem . artikel 2 . 140 ,  eerste lid;kunnen plaatsen;een overheidsopdracht;Aanbestedende diensten in verschillende lidstaten van de Europese Unie;;;exploiteren;een dynamisch aankoopsysteem ;Aanbestedende diensten in verschillende lidstaten van de Europese Unie;;plaatsen;een opdracht;Aanbestedende diensten in verschillende lidstaten van de Europese Unie;;['Aanbestedende', 'diensten', 'in', 'verschillende', 'lidstaten', 'van', 'de', 'Europese', 'Unie', 'kunnen', 'gezamenlijk', 'een', 'overheidsopdracht', 'plaatsen', ',', 'een', 'dynamisch', 'aankoopsysteem', 'exploiteren', 'of', ',', 'met', 'inachtneming', 'van', ',', 'een', 'opdracht', 'plaatsen', 'in', 'het', 'kader', 'van', 'de', 'raamovereenkomst', 'of', 'het', 'dynamisch', 'aankoopsysteem', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'OBJ', 'OBJ', 'V', ',', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', ',', 'O', 'O', 'O', ',', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
567;224;Deel2;Hoofdstuk2.1;Afdeling2.1.1;Paragraaf2.1.1.1a;Lid2;;1-7-2016;jci1.3:c:BWBR0032203&deel=2&hoofdstuk=2.1&afdeling=2.1.1&paragraaf=2.1.1.1a&artikel=2.11b&lid=2&z=2019-04-18&g=2019-04-18;In een geval als bedoeld in het eerste lid ,  sluiten de deelnemende aanbestedende diensten een overeenkomst die het volgende bepaalt : ;sluiten;een overeenkomst;de deelnemende aanbestedende diensten;;;bepaalt;;die;;;;;;['In', 'een', 'geval', 'als', 'bedoeld', 'in', 'het', 'eerste', 'lid', ',', 'sluiten', 'de', 'deelnemende', 'aanbestedende', 'diensten', 'een', 'overeenkomst', 'die', 'het', 'volgende', 'bepaalt', ':'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'ACTOR', 'O', 'O', 'V', ':']
